var_readable,var_topic,var_pretty,var_database,data_source_label,is_demographics,is_community_living,is_community_participation,is_work_economic,display,display_type,national_dropdown_label,national_summary_text,var_base,var_coding,universe_note,pct_definition
pct_cni_black_and_dis,Black Alone,"% of Population, Black alone and Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Black or African American is defined as a person having origins in any of the Black racial groups of Africa.",NA,NA,,
pop_cni_asian_dis,Asian,"# WITH a disability, Asian",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pop_cni_asian_nodis,Asian,"# WITHOUT a disability, Asian",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_asian,Asian,"% WITH Disabilities, Asian alone",S1810_C02_007,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Asian is defined as, a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures compare Asian-alone residents with and without disabilities and show what share of the Asian-alone population reports a disability.","Of the state's civilian noninstitutionalized population with disabilities, the share who are Asian alone."
pct_cni_asian_dis,Asian,"% WITH a disability, Asian",S1810_C02_007,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: Asian,"According to the U.S. Census Bureau, Asian is defined as, a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as Asian and no other race — what the Census Bureau labels ""Asian alone."" People who also report Hispanic or Latino origin are included. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the Asian-alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_asian_nodis,Asian,"% WITHOUT a disability, Asian",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Asian is defined as, a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",NA,NA,,"Of the Asian-alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pct_cni_asian_and_dis,Asian,"% of Population, Asian alone and Disabled",S1810_C02_007,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Asian is defined as, a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",NA,NA,,
pop_cni_nhopi_dis,Native Hawaiin,"# WITH a disability, Native Hawaiian or Other Pacific Islander",S1810_C02_008,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, other races include American Indian or Alaska Native, defined as A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment, and Native Hawaiian or Other Pacific Islander defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures cover residents who are Native Hawaiian or Other Pacific Islander alone. Counts for this group are small in most states and carry wide margins of error.",
pop_cni_nhopi_nodis,Native Hawaiin,"# WITHOUT a disability, Native Hawaiian or Other Pacific Islander",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_nhopi,Native Hawaiin,"% WITH Disabilities, Native Hawaiian or Other Pacific Islander alone",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,NA,NA,NA,,"Of the state's civilian noninstitutionalized population with disabilities, the share who are Native Hawaiian or Other Pacific Islander alone."
pct_cni_nhopi_dis,Native Hawaiin,"% WITH a disability, Native Hawaiian or Other Pacific Islander",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: Native Hawaiian or Other Pacific Islander,"According to the U.S. Census Bureau, Native Hawaiian or Other Pacific Islander is defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as Native Hawaiian or Other Pacific Islander and no other race — what the Census Bureau labels ""Native Hawaiian and Other Pacific Islander alone."" People who also report Hispanic or Latino origin are included. Counts for this group are small in most states and carry wide margins of error. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the Native Hawaiian and Other Pacific Islander alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_nhopi_nodis,Native Hawaiin,"% WITHOUT a disability, Native Hawaiian or Other Pacific Islander",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Native Hawaiian or Other Pacific Islander is defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,,"Of the Native Hawaiian and Other Pacific Islander alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pct_cni_nhopi_and_dis,Native Hawaiin,"% of Population, Native Hawaiian or Other Pacific Islander and Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,NA,NA,NA,,
pop_cni_aian_dis,American Indian,"# WITH a disability, American Indian and Alaska Native",S1810_C02_006,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, other races include American Indian or Alaska Native, defined as A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment, and Native Hawaiian or Other Pacific Islander defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures cover residents who are American Indian and Alaska Native alone. Counts for this group are small in most states and carry wide margins of error.",
pop_cni_aian_nodis,American Indian,"# WITHOUT a disability, American Indian and Alaska Native",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_aian,American Indian,"% WITH Disabilities, American Indian and Alaskan Native alone",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,NA,NA,NA,,"Of the state's civilian noninstitutionalized population with disabilities, the share who are American Indian and Alaska Native alone."
pct_cni_aian_dis,American Indian,"% WITH a disability, American Indian and Alaska Native",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: American Indian and Alaska Native,"According to the U.S. Census Bureau, American Indian or Alaska Native is defined as a person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as American Indian and Alaska Native and no other race — what the Census Bureau labels ""American Indian and Alaska Native alone."" People who also report Hispanic or Latino origin are included. Counts for this group are small in most states and carry wide margins of error. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the American Indian and Alaska Native alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_aian_nodis,American Indian,"% WITHOUT a disability, American Indian and Alaska Native",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, American Indian or Alaska Native is defined as a person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment.",NA,NA,,"Of the American Indian and Alaska Native alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pct_cni_aian_and_dis,American Indian,"% of Population, American Indian or Alaskan Native alone and Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,NA,NA,NA,,
pop_cni_raceother_dis,Other Race,"# WITH a disability, Some Other Race",S1810_C02_009,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Some Other Race includes responses not captured by the White, Black or African American, American Indian and Alaska Native, Asian, or Native Hawaiian and Other Pacific Islander categories. Respondents who report entries such as multiracial, mixed, or a Hispanic or Latino origin in the write-in area are counted here.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures cover residents who reported some other single race.",
pop_cni_raceother_nodis,Other Race,"# WITHOUT a disability, Some Other Race",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_raceother,Other Race,"% WITH Disabilities, Some other race alone",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, other races include American Indian or Alaska Native, defined as A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment, and Native Hawaiian or Other Pacific Islander defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,,"Of the state's civilian noninstitutionalized population with disabilities, the share who reported some other single race."
pct_cni_raceother_dis,Other Race,"% WITH a disability, Some Other Race",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: Other,"According to the U.S. Census Bureau, Some Other Race includes responses not captured by the White, Black or African American, American Indian and Alaska Native, Asian, or Native Hawaiian and Other Pacific Islander categories. Respondents who report entries such as multiracial, mixed, or a Hispanic or Latino origin in the write-in area are counted here.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who reported some other single race, not one of the five race categories the Census Bureau lists separately — what the Census Bureau labels ""Some Other Race alone."" Most people in this group wrote in a Hispanic or Latino origin in the race question. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the some-other-race-alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_raceother_nodis,Other Race,"% WITHOUT a disability, Some Other Race",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Some Other Race includes responses not captured by the White, Black or African American, American Indian and Alaska Native, Asian, or Native Hawaiian and Other Pacific Islander categories. Respondents who report entries such as multiracial, mixed, or a Hispanic or Latino origin in the write-in area are counted here.",NA,NA,,"Of the some-other-race-alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pct_cni_raceother_and_dis,Other Race,"% of Population, Some other race alone and Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, other races include American Indian or Alaska Native, defined as A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment, and Native Hawaiian or Other Pacific Islander defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.",NA,NA,,
pop_cni_racemulti_dis,Multiple Races,"# WITH a disability, Two or More Races",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pop_cni_racemulti_nodis,Multiple Races,"# WITHOUT a disability, Two or More Races",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_racemulti,Multiple Races,"% WITH Disabilities, Two or more races",S1810_C02_010,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, People who identify with more than one race may choose to provide multiple races in response to the race question. For example, if a respondent identifies as ""Asian"" and ""White,"" they may respond to the question on race by checking the appropriate boxes that describe their racial identities and/or writing in these identities on the spaces provided",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures cover residents who reported two or more races.","Of the state's civilian noninstitutionalized population with disabilities, the share who reported two or more races."
pct_cni_racemulti_dis,Multiple Races,"% WITH a disability, Two or More Races",S1810_C02_010,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: Two or More,"According to the U.S. Census Bureau, People who identify with more than one race may choose to provide multiple races in response to the race question. For example, if a respondent identifies as ""Asian"" and ""White,"" they may respond to the question on race by checking the appropriate boxes that describe their racial identities and/or writing in these identities on the spaces provided",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who reported two or more races. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the two-or-more-races segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
